bye2019-09-09 13:13:46,379  INFO [TestNG-tests-1] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:13:46,502  INFO [TestNG-tests-2] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:13:48,627  INFO [TestNG-tests-3] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:13:49,257  INFO [TestNG-tests-1] nopCommerceV123:24 - ********* Providing Login Details *************
2019-09-09 13:13:50,546  INFO [TestNG-tests-2] nopCommerceV123:24 - ********* Providing Login Details *************
2019-09-09 13:13:53,904  INFO [TestNG-tests-1] nopCommerceV123:29 - ********* Validating login with valid Credential *************
2019-09-09 13:13:54,006  INFO [TestNG-tests-1] nopCommerceV123:35 - ********* Login Test Is Passed *************
2019-09-09 13:13:54,010  INFO [TestNG-tests-1] nopCommerceV123:44 - ********* Login Test is Finished *************
2019-09-09 13:13:54,111  INFO [TestNG-tests-2] nopCommerceV123:29 - ********* Validating login with valid Credential *************
2019-09-09 13:13:54,320  INFO [TestNG-tests-3] nopCommerceV123:24 - ********* Providing Login Details *************
2019-09-09 13:13:54,543  INFO [TestNG-tests-2] nopCommerceV123:35 - ********* Login Test Is Passed *************
2019-09-09 13:13:54,544  INFO [TestNG-tests-2] nopCommerceV123:44 - ********* Login Test is Finished *************
2019-09-09 13:13:57,549  INFO [TestNG-tests-3] nopCommerceV123:29 - ********* Validating login with valid Credential *************
2019-09-09 13:13:57,557  INFO [TestNG-tests-3] nopCommerceV123:35 - ********* Login Test Is Passed *************
2019-09-09 13:13:57,557  INFO [TestNG-tests-3] nopCommerceV123:44 - ********* Login Test is Finished *************
2019-09-09 13:15:02,994  INFO [TestNG-tests-1] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:15:03,290  INFO [TestNG-tests-2] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:15:05,086  INFO [TestNG-tests-1] nopCommerceV123:24 - ********* Providing Login Details *************
2019-09-09 13:15:05,326  INFO [TestNG-tests-3] nopCommerceV123:19 - ********* Opening URL *************
2019-09-09 13:15:07,122  INFO [TestNG-tests-2] nopCommerceV123:24 - ********* Providing Login Details *************
2019-09-09 13:15:09,980  INFO [TestNG-tests-1] nopCommerceV123:29 - ********* Validating login with valid Credential *************
2019-09-09 13:15:09,994  INFO [TestNG-tests-1] nopCommerceV123:35 - ********* Login Test Is Passed *************
